614592	=>	61|52|49|38
614593	=>	63|48|46|43
614596	=>	60|55|45|40
614608	=>	60|55|43|42
614617	=>	58|56|50|36
614628	=>	59|56|47|38
614631	=>	58|54|53|35
614632	=>	61|53|47|39
614635	=>	57|56|52|35
614650	=>	62|51|47|40
614687	=>	60|55|46|39
614710	=>	63|48|47|42
614711	=>	60|54|49|37
614731	=>	58|57|48|37
614743	=>	62|50|49|39
614745	=>	58|55|52|35
614762	=>	59|55|50|36
614766	=>	63|49|44|44
614792	=>	63|49|45|43
614818	=>	61|53|48|38
614822	=>	63|49|46|42
614825	=>	60|52|52|36
614839	=>	62|52|45|41
614839	=>	59|56|48|37
614842	=>	60|55|47|38
614851	=>	62|52|44|42
614857	=>	62|51|48|39
614866	=>	60|53|51|36
614867	=>	62|52|43|43
614879	=>	61|54|44|41
614882	=>	61|51|51|37
614886	=>	56|55|55|34
614907	=>	63|48|48|41
614908	=>	61|54|45|40
614914	=>	61|54|43|42
614921	=>	61|52|50|37
614924	=>	59|53|53|35
614932	=>	57|57|51|35
614955	=>	56|56|54|34
614957	=>	62|52|46|40
614967	=>	59|54|52|35
614971	=>	58|56|51|35
614990	=>	63|49|47|41
614996	=>	58|57|49|36
